tweet_id,username,content_clean,hashtags,primary_hashtag,like_count,retweet_count,reply_count,engagement_score,sentiment_score,sentiment_label,script,timestamp
3125062796175905305,trader_216,"Quiet session so far on intraday, waiting for a clear setup",['intraday'],intraday,89,14,11,150,0.0,neutral,latin,2026-09-18 08:56:15.319159Z
3328664531147230437,trader_245,"ATH incoming for sensex, don't fight the trend #stockmarketindia",['stockmarketindia'],stockmarketindia,90,14,10,148,1.0,bullish,latin,2026-09-18 01:12:14.392085Z
3188743911448590559,trader_239,"kal market phat sakta hai, buy on dips! #niftytrading volumes are unusually high today",['intraday' 'niftytrading' 'stockmarketindia'],niftytrading,103,8,9,146,1.0,bullish,latin,2026-09-18 06:50:03.112007Z
2261538729794418079,trader_019,"banknifty crash ho gaya, stop loss hit on 3 positions #sensex let's see how the last hour plays out",['sensex' 'stockmarketindia'],sensex,95,15,5,140,-1.0,bearish,latin,2026-09-18 05:01:59.539082Z
2064275212960312527,trader_161,"kal market phat sakta hai, buy on dips! #stockmarketindia volumes are unusually high today",['nifty50' 'stockmarketindia'],stockmarketindia,95,15,5,140,1.0,bullish,latin,2026-09-18 13:33:24.247780Z
1706179580589909042,trader_222,"RBI policy meet tomorrow, expecting volatility in stockmarketindia small position, managing risk",['nifty50' 'stockmarketindia'],stockmarketindia,81,14,10,139,0.0,neutral,latin,2026-09-18 11:55:25.182151Z
9247813947098090523,trader_092,"Results season starting, keep an eye on niftytrading earnings",['niftytrading'],niftytrading,99,16,2,137,0.0,neutral,latin,2026-09-18 07:38:37.637681Z
6727665144931906978,trader_105,"ATH incoming for sensex, don't fight the trend #intraday this is just my view, not advice",['intraday'],intraday,72,16,10,134,1.0,bullish,latin,2026-09-18 11:26:53.081351Z
8008891479058011398,trader_243,"Bearish engulfing on daily chart, sell on rallies #intraday let's see how the last hour plays out",['intraday' 'stockmarketindia'],intraday,90,15,3,129,-1.0,bearish,latin,2026-09-18 05:21:04.036336Z
3315282375944432662,trader_199,"market bahut weak lag raha hai aaj, be careful #banknifty",['banknifty'],banknifty,87,4,11,128,0.0,neutral,latin,2026-09-18 04:57:16.323435Z
1338309847882659157,trader_232,"Booked losses today, this correction isn't over #banknifty small position, managing risk",['banknifty' 'nifty50' 'stockmarketindia'],banknifty,75,14,8,127,-1.0,bearish,latin,2026-09-18 05:31:58.294429Z
2485329074990682790,trader_029,"FII selling pressure continues, banknifty weak let's see how the last hour plays out",['banknifty' 'stockmarketindia'],banknifty,86,16,2,124,-1.0,bearish,latin,2026-09-18 03:57:15.611856Z
9011190513699917654,trader_043,"banknifty crash ho gaya, stop loss hit on 3 positions #sensex been a wild session honestly",['sensex'],sensex,85,4,10,123,-1.0,bearish,latin,2026-09-18 13:34:24.904602Z
2928953235922399647,trader_057,"Bearish engulfing on daily chart, sell on rallies #banknifty volumes are unusually high today",['banknifty'],banknifty,88,13,3,123,-1.0,bearish,latin,2026-09-18 04:45:15.695551Z
1163317200544681466,trader_026,"RBI policy meet tomorrow, expecting volatility in banknifty volumes are unusually high today",['banknifty' 'niftytrading'],banknifty,70,11,10,122,0.0,neutral,latin,2026-09-18 08:24:16.846984Z
1209883645703308491,trader_076,Any views on sensex for tomorrow's session? #sensex been a wild session honestly,['intraday' 'nifty50' 'sensex'],sensex,85,9,6,121,0.0,neutral,latin,2026-09-18 09:46:01.742689Z
3147822715781000154,trader_191,"kal market phat sakta hai, buy on dips! #intraday been trading since 9:15 today",['intraday'],intraday,88,11,3,119,1.0,bullish,latin,2026-09-18 09:30:43.438695Z
2652332965478087603,trader_014,"Strong FII buying today, stockmarketindia looking good what are you all doing here",['nifty50' 'stockmarketindia'],stockmarketindia,72,17,4,118,1.0,bullish,latin,2026-09-17 23:24:10.968280Z
6357610717865922308,trader_200,"Strong FII buying today, nifty50 looking good thoughts?",['nifty50'],nifty50,81,11,3,112,1.0,bullish,latin,2026-09-18 06:40:36.671300Z
2928766122930602721,trader_170,"Watching sensex closely today, range-bound so far thoughts?",['sensex' 'stockmarketindia'],sensex,82,11,2,110,0.0,neutral,latin,2026-09-18 01:07:53.254061Z
3387289972557719871,trader_150,"Any views on sensex for tomorrow's session? #sensex 23,750 zone is key here",['sensex'],sensex,86,7,2,106,0.0,neutral,latin,2026-09-18 12:13:10.369629Z
2000450547290823247,trader_139,"RBI policy meet tomorrow, expecting volatility in intraday let's see how the last hour plays out",['intraday' 'sensex'],intraday,65,7,9,106,0.0,neutral,latin,2026-09-18 09:34:53.686897Z
1352091823736335895,trader_255,"Nifty breakdown below support, expecting more downside #sensex",['sensex'],sensex,80,7,4,106,-1.0,bearish,latin,2026-09-18 08:34:08.079522Z
1924961327997030206,trader_241,"ATH incoming for sensex, don't fight the trend #banknifty been a wild session honestly",['banknifty' 'nifty50' 'stockmarketindia'],banknifty,77,8,4,105,1.0,bullish,latin,2026-09-18 03:20:15.861627Z
3124796270178905278,trader_094,"Nifty breaking out above resistance, niftytrading looking strong for tomorrow been a wild session honestly",['niftytrading' 'stockmarketindia'],niftytrading,67,5,9,104,0.0,neutral,latin,2026-09-18 03:23:15.143430Z
3153274021397112788,trader_060,"Results season starting, keep an eye on intraday earnings closing above 21,200 would confirm it",['intraday'],intraday,74,7,5,103,0.0,neutral,latin,2026-09-18 04:49:32.796409Z
3370108200046532819,trader_153,"Nifty breaking out above resistance, nifty50 looking strong for tomorrow what are you all doing here",['nifty50' 'sensex' 'stockmarketindia'],nifty50,55,12,8,103,0.0,neutral,latin,2026-09-18 04:18:37.661673Z
1742389428723990899,trader_069,"banknifty crash ho gaya, stop loss hit on 3 positions #sensex eyeing 24,525 as the level to watch",['banknifty' 'niftytrading' 'sensex'],sensex,67,4,9,102,-1.0,bearish,latin,2026-09-18 09:05:32.290689Z
2728784674211153188,trader_160,"Banknifty holding support beautifully, bullish structure intact #banknifty 22,850 zone is key here",['banknifty' 'sensex' 'stockmarketindia'],banknifty,61,12,5,100,1.0,bullish,latin,2026-09-18 05:31:54.124618Z
2341773142618653401,trader_248,"FII selling pressure continues, nifty50 weak",['nifty50'],nifty50,62,9,6,98,-1.0,bearish,latin,2026-09-18 13:23:27.386737Z
4464581058878943173,trader_199,"Strong FII buying today, banknifty looking good small position, managing risk",['banknifty'],banknifty,57,11,6,97,1.0,bullish,latin,2026-09-18 01:41:08.566305Z
